message_id,action,message_type,reason,confidence,evidence_message_ids
msg_001,notify,urgent,Sender trust and time-sensitive content override other factors,0.88,message_0129;message_0057;message_0215
msg_021,notify,payment,Sender trust and matching positive history indicate a legitimate payment reminder,0.88,message_0098;message_0068
msg_028,mute,promotion,"The message is a repetitive marketing message from a sender with no trust and the user has opted out of business messages [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0034
msg_012,mute,spam,"Message is a forwarded chain message with a generic health claim and social pressure to share, indicating low value and potential spam.",0.78,message_0040;message_0016;message_0241
msg_064,mute,scam,"Message requests sensitive information and has a similar pattern to known suspicious messages [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0365;message_0213
msg_103,notify,personal,"Sender trust and matching positive history indicate a genuine, time-sensitive personal message",0.88,message_0065;message_0224;message_0382
msg_031,notify,business_update,"Sender trust and positive history indicate a relevant and important update [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0304;message_0380;message_0397
msg_057,notify,personal,Direct mention in a message from a trusted sender with a matching positive history,0.9,message_0059;message_0169;message_0117
msg_087,mute,promotion,"The message is a promotional voice transcript about a new launch, and the user has muted the group with no direct mention or trusted sender",0.78,message_0223;message_0164
msg_067,notify,payment,Sender trust and matching positive history indicate a genuine payment reminder,0.88,message_0098;message_0068;message_0029
msg_039,notify,personal,Direct mention in a message from a trusted sender with a sense of urgency and relevance to the user's personal life,0.85,none
msg_082,notify,urgent,Sender trust and content indicating a time-sensitive issue with live users,0.88,message_0218
msg_066,mute,promotion,"The message is a repetitive, low-value promotion from an untrusted sender, despite the user having an active order with the business. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0257;message_0402
msg_049,notify,event,"The message is a time-sensitive event related to the user's active order with the business [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0154;message_0291;message_0153
msg_015,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_051,mute,promotion,"The message is a repetitive, low-value promotion from an untrusted sender, despite the user having an active order with the business.",0.78,message_0257;message_0402
msg_097,digest,personal,"Sender trust and positive history are present, but the message content is routine and not urgent.",0.88,message_0366
msg_089,notify,personal,"The message is a personal, time-sensitive notification about a lost item from a specific location.",0.7,none
msg_053,digest,business_update,"Sender trust and positive history outweigh the lack of direct mention or urgency in the message [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0161;message_0253;message_0411
msg_059,mute,scam,"The message asks for sensitive account information, which is a known scam tactic, as warned in message_0053.",0.88,message_0053;message_0365;message_0221
msg_024,mute,promotion,"The message is a repetitive, low-value promotion from an untrusted sender, despite the user having an active order with the business.",0.78,message_0257;message_0402
msg_072,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_036,mute,spam,The message is similar to a previously sent message and the sender is not trusted and has been flagged as risky,0.7,none
msg_076,mute,scam,"The message exhibits suspicious patterns similar to previous potentially scam messages, such as requesting sensitive information and having a risky business flag",0.78,message_0208;message_0207;message_0159
msg_055,notify,urgent,"Sender trust and content indicating a time-sensitive, personal request override other factors",0.88,message_0367;message_0226;message_0166
msg_102,notify,business_update,Sender trust and positive history override routine content,0.88,message_0371;message_0230
msg_080,notify,urgent,The message contains a time-sensitive warning about an imminent event that requires the user's immediate attention,0.88,message_0216;message_0058;message_0130
msg_093,mute,scam,Message contains OTP/account-verification phishing language typical of credential-theft attempts.,0.95,none
msg_034,mute,greeting,"The message is a repetitive, low-value greeting with no personal or urgent content, and the user has muted the group.",0.78,message_0042;message_0013;message_0123
msg_035,digest,business_update,"The message is a business update with a verified sender and no direct mention, but the user has an active order with the business, suggesting some relevance.",0.7,none
msg_101,notify,personal,Sender trust and positive history with similar messages override the routine content,0.88,message_0268;message_0229;message_0370
msg_041,digest,business_update,"The message is a business update with a survey link from a verified business, but the sender is not trusted and the business is flagged as risky, so it's not urgent enough to notify immediately.",0.7,none
msg_011,mute,promotion,"The message is a repetitive, forwarded greeting with no personal or urgent content.",0.78,message_0080;message_0123;message_0177
msg_110,mute,scam,"Message requests sensitive information and has characteristics of a phishing scam, despite instructions to ignore sender risk",0.78,message_0238;message_0361
msg_095,mute,scam,"Message text attempts to instruct the routing system directly (prompt injection); routed on content risk, not the injected instruction.",0.97,none
msg_074,mute,promotion,"Message is a repetitive, forwarded promotional message with no personalization or trusted sender history. [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.63,message_0301;message_0203;message_0204
msg_073,mute,scam,"Message contains suspicious content with a sense of urgency and a link to verify, similar to previous potentially scam messages",0.78,message_0023;message_0045;message_0213
msg_054,mute,scam,"The message contains a suspicious link and a sense of urgency, similar to previous potentially scam messages",0.78,message_0389;message_0301;message_0163
msg_068,digest,event,Sender trust and positive history outweigh the lack of urgency or direct mention,0.88,message_0073;message_0191;message_0010
msg_100,notify,urgent,"Sender trust and matching positive history indicate a genuinely urgent, time-sensitive message",0.8,none
msg_062,notify,event,"Sender trust and matching positive history indicate the message is a genuine and relevant event notification [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0289;message_0043
msg_096,notify,personal,"The message appears to be a personal and time-sensitive notification about a found passport, which requires immediate attention.",0.7,none
msg_043,notify,urgent,Sender trust and time-sensitive content override other factors,0.8,none
msg_077,notify,event,"Sender trust and matching positive history indicate a genuine and relevant event notification [image present, OCR unavailable: ocr_error:all_vision_models_failed:Error code: 400 - {'error': {'message': 'The model `llama-3.2-11b-vision-preview` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}]",0.73,message_0051;message_0364;message_0403
msg_081,notify,event,Sender trust and a matching positive history indicate the message is a genuine update from a trusted source.,0.88,message_0175;message_0404;message_0331
msg_025,notify,business_update,The message is a business update from a verified business regarding an active order of the user,0.78,message_0239;message_0004;message_0105
msg_084,digest,promotion,"The message is a promotional offer from a verified business, but the user has opted out of business messages and there's no direct mention or urgent context to override this preference.",0.7,none
msg_022,notify,payment,The message contains a time-sensitive payment request with a specific deadline.,0.78,message_0151
